 PM2.5(mg/m3), PM10(mg/m3), Temperature(C), Relative Humidity(%), Longitude, Latitude, Altitude(m), Time ,,,,
29.5,32.7,26.32,80.01,7.57341,51.94464,73.7,8:50:52,,,,
30.5,33.8,26.33,79.14,7.57341,51.94464,73.7,8:50:52,,,,
30,33.3,26.29,78.36,,,,,,,,
30.3,33.7,26.36,78.07,,,,,,,,
29.9,33.4,26.33,77.98,7.57341,51.94464,73.7,8:52:23,,,,
31,34.6,26.37,77.69,7.57341,51.94464,73.7,8:52:33,,,,
31.6,35.3,26.37,77.01,7.57341,51.94464,73.7,8:52:43,,,,
32.2,44.1,26.33,76.42,7.57341,51.94464,73.7,8:52:53,,,,
31.8,43.2,26.26,75.84,7.57341,51.94464,73.7,8:53:03,,,,
31.2,42.8,26.25,76.23,7.57341,51.94464,73.7,8:53:13,,,,
31.1,34.6,26.28,77.11,7.57341,51.94464,73.7,8:53:23,,,,
30.6,34.1,26.28,77.59,7.57341,51.94464,73.7,8:53:32,,,,
30.7,37.2,26.33,79.33,7.57341,51.94464,73.7,8:53:43,,,,
29.5,36.8,26.47,80.5,7.57341,51.94464,73.7,8:53:43,,,,
30.1,39.5,26.52,82.53,7.57341,51.94464,73.7,8:53:43,,,,
30.1,37.3,26.5,80.4,,,,,,,,
30.4,36.4,26.45,77.39,,,,,,,,
30.5,34.4,26.5,77.01,,,,,,,,
30,33.5,26.8,76.95,7.57341,51.94464,73.7,8:53:43,,,,
30.2,34,26.8,75.88,7.57316,51.94505,73.7,8:54:53,,,,
28.9,40.6,26.7,75.68,,,,,,,,
29.2,42.3,26.51,74.1,7.57296,51.94526,47.9,8:55:14,,,,
29.6,44.1,26.65,72.87,7.57292,51.94536,48.8,8:55:24,,,,
30,36.8,26.5,73.13,7.57285,51.94541,48.7,8:55:34,,,,
29.6,33.2,26.52,73.71,7.57266,51.94548,48.8,8:55:44,,,,
29.8,33.1,26.65,74.13,7.57252,51.94551,48.7,8:55:54,,,,
30.6,34,26.6,74.33,7.57234,51.94558,48.5,8:56:04,,,,
30.3,33.7,26.52,74,7.57218,51.94565,48.4,8:56:14,,,,
29.8,33.2,26.3,73.8,7.57201,51.94573,48.2,8:56:24,,,,
29.1,32.3,26.05,72.89,7.57182,51.94581,47.6,8:56:34,,,,
34.7,92.4,25.98,73.09,,,,,,,,
34.4,112.1,26.26,73.32,,,,,,,,
33.9,131.1,26.45,72.74,,,,,,,,
27.5,68.4,26.62,72.58,,,,,,,,
38.5,231.9,26.75,72.87,7.57182,51.94581,47.6,8:56:34,,,,
43.5,258.2,26.63,72.97,7.57182,51.94581,47.6,8:56:34,,,,
45.8,284.7,26.81,73.16,7.57182,51.94581,47.6,8:56:34,,,,
35.3,118.2,26.85,73.16,,,,,,,,
30.1,78,26.76,73.16,7.57167,51.94588,48.1,8:58:05,,,,
29.5,52.5,26.81,72.49,7.57167,51.94588,48.1,8:58:15,,,,
28.2,35.7,26.81,72.58,7.57167,51.94588,48.1,8:58:25,,,,
28.4,50.1,26.88,72.61,7.57167,51.94588,48.1,8:58:35,,,,
30,86.2,26.97,72.33,7.57167,51.94588,48.1,8:58:45,,,,
32.1,128.2,26.99,72.42,7.57167,51.94588,48.1,8:58:55,,,,
32.1,119.3,26.94,72.03,7.57167,51.94588,48.1,8:59:05,,,,
29.9,97.4,27.47,71.68,7.57167,51.94588,48.1,8:59:15,,,,
28.4,57.4,28.04,70.68,7.57167,51.94588,48.1,8:59:25,,,,
27.6,49.2,28.46,69.45,7.57167,51.94588,48.1,8:59:25,,,,
28.1,32.7,28.8,68.41,7.57167,51.94588,48.1,8:59:25,,,,
64.2,119.2,27.85,67.34,,,,,,,,
78.3,130.2,26.91,67.28,,,,,,,,
91.5,142.1,26.32,68.18,7.57167,51.94588,48.1,8:59:25,,,,
65.9,72.8,26.02,69.31,7.57167,51.94588,48.1,8:59:25,,,,
65.3,72.1,25.38,70.21,7.57167,51.94588,48.1,8:59:25,,,,
65.6,72.6,24.91,71.14,7.57167,51.94588,48.1,9:00:35,,,,
67.1,74.2,24.22,72.14,7.57167,51.94588,48.1,9:00:35,,,,
66.1,73,24.09,72.24,7.57167,51.94588,48.1,9:01:06,,,,
63.6,70,23.36,73.61,7.57167,51.94588,48.1,9:01:16,,,,
64.6,71.5,23.1,75.31,7.57167,51.94588,48.1,9:01:26,,,,
64.8,71.7,23.09,76.57,7.57167,51.94588,48.1,9:01:26,,,,
64.9,72,22.83,77.3,,,,,,,,
66.8,74.1,23.12,78.69,,,,,,,,
69.5,77.2,22.83,78.36,,,,,,,,
72.2,80.4,22.83,78.85,,,,,,,,
72.5,80.5,22.86,79.14,7.57167,51.94588,48.1,9:01:26,,,,
74.6,82.8,22.58,79.14,7.57152,51.94588,63.1,9:02:36,,,,
73.9,81.8,22.49,79.72,7.57149,51.94587,72.9,9:02:46,,,,
72.2,80.2,22.4,80.74,,,,,,,,
70.3,78,22.31,81.22,,,,,,,,
70.3,78.1,22.25,81.7,7.57149,51.94587,72.9,9:02:46,,,,
70.8,78.5,22.21,81.51,7.57149,51.94587,72.9,9:02:46,,,,
70.6,78.4,22.49,81.84,7.57149,51.94587,72.9,9:02:46,,,,
71.3,79.2,22.47,81.02,7.57149,51.94587,72.9,9:02:46,,,,
71.8,79.9,22.67,80.2,,,,,,,,
72.4,80.5,22.65,79.81,,,,,,,,
71.5,79.3,22.67,79.33,7.57156,51.94586,99,9:04:17,,,,
68.9,76.4,22.54,79.14,7.57156,51.94586,99,9:04:27,,,,
68.8,76.4,22.6,79.43,7.57158,51.94587,109,9:04:37,,,,
67.5,75,22.55,79.14,7.57158,51.94587,112.9,9:04:47,,,,
68.1,75.8,22.47,79.29,7.57158,51.94587,112.9,9:04:57,,,,
65.1,72.4,22.36,79.39,7.57158,51.94587,112.9,9:05:07,,,,
66.1,73.5,22.27,79.39,7.57158,51.94587,112.9,9:05:17,,,,
65.6,72.9,22.28,79.29,7.57158,51.94587,112.9,9:05:27,,,,
66.7,74.3,22.43,79.39,7.57158,51.94587,112.9,9:05:37,,,,
67.1,74.9,22.43,79.1,,,,,,,,
69.3,77.4,22.37,79.19,,,,,,,,
71.6,80,22.54,79.24,,,,,,,,
71.2,79.5,22.6,79.81,7.57158,51.94587,112.9,9:05:37,,,,
70,78,22.46,80.16,7.57158,51.94587,112.9,9:05:37,,,,
64.5,71.7,22.36,80.93,7.57158,51.94587,112.9,9:05:37,,,,
54.7,60.7,22.42,81.22,7.57159,51.94599,140.9,9:06:48,,,,
44.2,48.9,22.47,81.12,7.57156,51.94617,132.5,9:06:58,,,,
52.4,57.9,22.65,81.16,7.57153,51.94626,123.3,9:07:08,,,,
67.5,74.3,22.68,81.26,7.57149,51.94606,114,9:07:18,,,,
87.4,96.2,22.12,81.12,7.57133,51.94588,94.5,9:07:28,,,,
88.4,97,22.3,82.18,7.57154,51.94606,90.4,9:07:38,,,,
87.8,96.5,22.47,82.67,7.57168,51.94625,80.4,9:07:48,,,,
87.9,96.9,22.86,83.29,7.57171,51.94615,67.8,9:07:58,,,,
90.4,99.7,22.92,82.65,7.57171,51.94615,67.8,9:07:58,,,,
113,209.9,23.28,82.89,7.57171,51.94599,67.8,9:08:18,,,,
134.9,366.2,23.75,82.83,7.57171,51.94599,67.8,0:09:08,,,,
143.8,466.4,24.4,83.3,7.5717,51.94596,46.3,9:08:39,,,,
103.8,342.7,24.91,83.53,7.5717,51.94596,46.3,9:08:49,,,,
60,180.6,25.18,83.48,7.5717,51.94596,46.3,9:08:59,,,,
31.8,71.1,25.27,81.45,,,,,,,,
36.2,129.8,25.94,79.78,7.57164,51.94593,46.3,9:09:18,,,,
37.4,171.5,26.94,78.05,,,,,,,,
40.9,226.4,27.13,76.4,7.57161,51.94589,44.6,9:09:39,,,,
36.5,166.8,26.73,74.91,7.57161,51.94589,44.6,9:09:49,,,,
35,111.3,26.97,75.34,7.57161,51.94589,44.6,9:09:59,,,,
34.3,59.7,28.18,75.45,7.57161,51.94589,44.6,9:10:09,,,,
78.5,142,29.12,73.51,7.57161,51.94589,44.6,9:10:19,,,,
122.9,179.8,29.06,70.59,7.57161,51.94589,44.6,9:10:29,,,,
156.1,227.9,28.95,68.74,7.57161,51.94589,44.6,9:10:39,,,,
111.8,138.2,29.34,68.48,7.57165,51.94583,45.5,9:10:49,,,,
68.3,109.7,27.87,67.83,7.57165,51.94572,46.3,9:10:59,,,,
34.4,56.6,26.67,68.41,7.57165,51.94572,46.3,9:10:59,,,,
34.2,46.8,26.82,69.67,,,,,,,,
34.9,45,27.46,72.36,,,,,,,,
34.3,48.4,27.77,73.08,,,,,,,,
34.3,50.5,27.77,73.08,7.57165,51.94572,46.3,9:10:59,,,,
33.4,44.7,27.46,72.36,7.57165,51.94572,46.3,0:00:02,7.57165,51.94572,46.3,0:00:02
33,37.5,27.54,72.17,7.57165,51.94572,46.3,0:00:02,,,,
32.7,36.4,27.81,72.78,7.57296,51.9452,46.3,9:12:19,,,,
32.9,36.8,27.29,72.27,7.57304,51.94507,52.7,9:12:30,,,,
33.1,37.1,27.29,72.45,7.57321,51.94501,52.8,9:12:40,,,,
32.9,36.8,27.32,72.27,7.5733,51.94491,52.9,9:12:50,,,,
31.6,35,27.29,71.48,7.57337,51.9448,52.9,9:13:00,,,,
